No.,Longitude,Latitude,TIME,Serving PCI,Serving RSRP,Serving DL EARFCN,PCC SINR,PDCP Throughput DL,PDCP Throughput UL,0st PCI in Detected Cells,1st PCI in Detected Cells,2st PCI in Detected Cells,3st PCI in Detected Cells,4st PCI in Detected Cells,5st PCI in Detected Cells,0st RSRP in Detected Cells,1st RSRP in Detected Cells,2st RSRP in Detected Cells,3st RSRP in Detected Cells,4st RSRP in Detected Cells,5st RSRP in Detected Cells,0st EARFCN in Detected Cells,1st EARFCN in Detected Cells,2st EARFCN in Detected Cells,3st EARFCN in Detected Cells,4st EARFCN in Detected Cells,5st EARFCN in Detected Cells
41,116.41758,39.830193,2017-07-21 10:04:12.218,139,-90.437,37900,16.9,0.445,0.057,301,74,138,,,,-99.312,-101.812,-103.562,,,,38098,38098,38098,,,
42,116.41758,39.830193,2017-07-21 10:04:12.528,139,-88.937,37900,17.9,0.445,0.057,74,,,,,,-100.375,,,,,,37900,,,,,
43,116.41758,39.830193,2017-07-21 10:04:12.590,139,-88.937,37900,17.9,0.445,0.057,74,,,,,,-100.375,,,,,,37900,,,,,
44,116.41758,39.830193,2017-07-21 10:04:13.134,139,-90.187,37900,14.7,0.445,0.057,74,,,,,,-99.625,,,,,,37900,,,,,
45,116.417595,39.830189,2017-07-21 10:04:13.506,139,-89.562,37900,17.5,0.222,0.057,74,,,,,,-96,,,,,,37900,,,,,
46,116.417595,39.830189,2017-07-21 10:04:13.550,139,-89.562,37900,17.5,0.222,0.057,74,,,,,,-97.25,,,,,,37900,,,,,
47,116.417595,39.830189,2017-07-21 10:04:13.911,139,-89.75,37900,17.6,0.222,0.057,74,,,,,,-99.625,,,,,,37900,,,,,
48,116.417595,39.830181,2017-07-21 10:04:14.405,139,-89.937,37900,19.6,0.222,0.057,74,,,,,,-98,,,,,,37900,,,,,
49,116.417595,39.830181,2017-07-21 10:04:14.818,139,-93.062,37900,14.1,0.002,0.008,74,,,,,,-98.125,,,,,,37900,,,,,
50,116.417595,39.830181,2017-07-21 10:04:15.257,139,-88.5,37900,22.9,0.002,0.008,74,,,,,,-93.75,,,,,,37900,,,,,
51,116.417625,39.830173,2017-07-21 10:04:15.645,139,-90.437,37900,16.8,0.002,0.008,74,,,,,,-98.812,,,,,,37900,,,,,
52,116.417625,39.830173,2017-07-21 10:04:16.055,139,-90.5,37900,15.8,0.002,0.008,74,,,,,,-102.937,,,,,,37900,,,,,
53,116.417641,39.830162,2017-07-21 10:04:16.459,139,-89.312,37900,20.7,0.314,0.015,74,301,,,,,-101.187,-109.5,,,,,37900,37900,,,,
54,116.417641,39.830162,2017-07-21 10:04:16.831,139,-88.812,37900,19.7,0.314,0.015,74,,,,,,-98.125,,,,,,37900,,,,,
55,116.417641,39.830162,2017-07-21 10:04:16.891,139,-87.937,37900,18.9,0.314,0.015,74,,,,,,-99.75,,,,,,37900,,,,,
56,116.417656,39.830158,2017-07-21 10:04:17.267,139,-88.687,37900,19.8,6.568,0.382,74,,,,,,-99.687,,,,,,37900,,,,,
57,116.417656,39.830158,2017-07-21 10:04:17.734,139,-88.812,37900,18.7,6.568,0.382,74,,,,,,-99.125,,,,,,37900,,,,,
58,116.417656,39.830158,2017-07-21 10:04:17.829,139,-90,37900,18.9,6.568,0.382,74,,,,,,-99.437,,,,,,37900,,,,,
59,116.417679,39.830154,2017-07-21 10:04:18.166,139,-90,37900,18.9,6.568,0.382,74,,,,,,-98.812,,,,,,37900,,,,,
60,116.417679,39.830154,2017-07-21 10:04:18.590,139,-94.5,37900,13,6.568,0.382,74,,,,,,-96.312,,,,,,37900,,,,,
61,116.417679,39.830154,2017-07-21 10:04:18.869,139,-93.187,37900,15.399,6.568,0.382,74,,,,,,-99.187,,,,,,38098,,,,,
62,116.417679,39.830154,2017-07-21 10:04:19.026,139,-93.187,37900,15.399,6.568,0.382,74,,,,,,-98.187,,,,,,37900,,,,,
63,116.417694,39.830151,2017-07-21 10:04:19.493,139,-90.937,37900,20.9,6.568,0.382,74,,,,,,-99.687,,,,,,37900,,,,,
64,116.417694,39.830151,2017-07-21 10:04:19.918,139,-91.625,37900,18.5,6.568,0.382,74,,,,,,-104.25,,,,,,37900,,,,,
65,116.417679,39.830154,2017-07-21 10:04:20.358,139,-93.687,37900,17.7,0.317,0.016,74,,,,,,-102.625,,,,,,37900,,,,,
66,116.417679,39.830154,2017-07-21 10:04:20.837,139,-91.187,37900,18.7,0.317,0.016,74,,,,,,-114.125,,,,,,37900,,,,,
67,116.417679,39.830151,2017-07-21 10:04:21.250,139,-90.25,37900,15.399,0.317,0.016,74,,,,,,-104.125,,,,,,37900,,,,,
68,116.417679,39.830151,2017-07-21 10:04:21.614,139,-88.937,37900,19.6,0,0,74,,,,,,-101.375,,,,,,37900,,,,,
69,116.417679,39.830151,2017-07-21 10:04:22.077,139,-92.562,37900,10.8,0,0,74,,,,,,-106,,,,,,37900,,,,,
70,116.417679,39.830151,2017-07-21 10:04:22.445,139,-93.5,37900,17.6,0,0,74,,,,,,-102.125,,,,,,37900,,,,,
71,116.417679,39.830151,2017-07-21 10:04:22.881,139,-92.062,37900,17.5,0,0,74,,,,,,-97,,,,,,37900,,,,,
72,116.417656,39.830154,2017-07-21 10:04:23.234,139,-91.875,37900,15.3,0,0,74,,,,,,-92.437,,,,,,37900,,,,,
73,116.417656,39.830154,2017-07-21 10:04:23.709,139,-88.875,37900,18.1,0,0,74,138,,,,,-95.812,-104.937,,,,,38098,38098,,,,
74,116.417656,39.830154,2017-07-21 10:04:24.133,139,-89.437,37900,21.7,0,0,74,,,,,,-95.875,,,,,,37900,,,,,
75,116.417679,39.830151,2017-07-21 10:04:24.541,139,-88.25,37900,22.3,0,0,74,,,,,,-97.375,,,,,,37900,,,,,
76,116.417679,39.830151,2017-07-21 10:04:24.966,139,-89.25,37900,17.2,0,0,74,,,,,,-99.75,,,,,,37900,,,,,
77,116.417679,39.8301469,2017-07-21 10:04:25.394,139,-90.875,37900,19.7,0,0,74,,,,,,-101.187,,,,,,37900,,,,,
78,116.417679,39.8301469,2017-07-21 10:04:25.777,139,-89.75,37900,17.5,0.014,0.003,74,,,,,,-97.187,,,,,,37900,,,,,
79,116.417679,39.8301469,2017-07-21 10:04:26.230,139,-89.187,37900,5.5,0.014,0.003,74,,,,,,-99.437,,,,,,37900,,,,,
80,116.417679,39.830143,2017-07-21 10:04:26.231,139,-89.187,37900,5.5,0.014,0.003,74,,,,,,-98.75,,,,,,37900,,,,,
81,116.417679,39.830143,2017-07-21 10:04:26.673,139,-88.5,37900,16.9,0.014,0.003,74,,,,,,-99.937,,,,,,37900,,,,,
82,116.417679,39.830143,2017-07-21 10:04:27.040,139,-90.125,37900,20.7,0.014,0.003,74,,,,,,-95.875,,,,,,37900,,,,,
